"ccode","year","revstate","fatality","hostlev"
"aab",1816,0,0,0
"aab",1817,0,0,0
"aab",1818,0,0,0
"aab",1819,0,0,0
"aab",1820,0,0,0
"aab",1821,0,0,0
"aab",1822,0,0,0
"aab",1823,0,0,0
"aab",1824,0,0,0
"aab",1825,0,0,0
"aab",1826,0,0,0
"aab",1827,0,0,0
"aab",1828,0,0,0
"aab",1829,0,0,0
"aab",1830,0,0,0
"aab",1831,0,0,0
"aab",1832,0,0,0
"aab",1833,0,0,0
"aab",1834,0,0,0
"aab",1835,0,0,0
"aab",1836,0,0,0
"aab",1837,0,0,0
"aab",1838,0,0,0
"aab",1839,0,0,0
"aab",1840,0,0,0
"aab",1841,0,0,0
"aab",1842,0,0,0
"aab",1843,0,0,0
"aab",1844,0,0,0
"aab",1845,0,0,0
"aab",1846,0,0,0
"aab",1847,0,0,0
"aab",1848,0,0,0
"aab",1849,0,0,0
"aab",1850,0,0,0
"aab",1851,0,0,0
"aab",1852,0,0,0
"aab",1853,0,0,0
"aab",1854,0,0,0
"aab",1855,0,0,0
"aab",1856,0,0,0
"aab",1857,0,0,0
"aab",1858,0,0,0
"aab",1859,0,0,0
"aab",1860,0,0,0
"aab",1861,0,0,0
"aab",1862,0,0,0
"aab",1863,0,0,0
"aab",1864,0,0,0
"aab",1865,0,0,0
"aab",1866,0,0,0
"aab",1867,0,0,0
"aab",1868,0,0,0
"aab",1869,0,0,0
"aab",1870,0,0,0
"aab",1871,0,0,0
"aab",1872,0,0,0
"aab",1873,0,0,0
"aab",1874,0,0,0
"aab",1875,0,0,0
"aab",1876,0,0,0
"aab",1877,0,0,0
"aab",1878,0,0,0
"aab",1879,0,0,0
"aab",1880,0,0,0
"aab",1881,0,0,0
"aab",1882,0,0,0
"aab",1883,0,0,0
"aab",1884,0,0,0
"aab",1885,0,0,0
"aab",1886,0,0,0
"aab",1887,0,0,0
"aab",1888,0,0,0
"aab",1889,0,0,0
"aab",1890,0,0,0
"aab",1891,0,0,0
"aab",1892,0,0,0
"aab",1893,0,0,0
"aab",1894,0,0,0
"aab",1895,0,0,0
"aab",1896,0,0,0
"aab",1897,0,0,0
"aab",1898,0,0,0
"aab",1899,0,0,0
"aab",1900,0,0,0
"aab",1901,0,0,0
"aab",1902,0,0,0
"aab",1903,0,0,0
"aab",1904,0,0,0
"aab",1905,0,0,0
"aab",1906,0,0,0
"aab",1907,0,0,0
"aab",1908,0,0,0
"aab",1909,0,0,0
"aab",1910,0,0,0
"aab",1911,0,0,0
"aab",1912,0,0,0
"aab",1913,0,0,0
"aab",1914,0,0,0
"aab",1915,0,0,0
"aab",1916,0,0,0
"aab",1917,0,0,0
"aab",1918,0,0,0
"aab",1919,0,0,0
"aab",1920,0,0,0
"aab",1921,0,0,0
"aab",1922,0,0,0
"aab",1923,0,0,0
"aab",1924,0,0,0
"aab",1925,0,0,0
"aab",1926,0,0,0
"aab",1927,0,0,0
"aab",1928,0,0,0
"aab",1929,0,0,0
"aab",1930,0,0,0
"aab",1931,0,0,0
"aab",1932,0,0,0
"aab",1933,0,0,0
"aab",1934,0,0,0
"aab",1935,0,0,0
"aab",1936,0,0,0
"aab",1937,0,0,0
"aab",1938,0,0,0
"aab",1939,0,0,0
"aab",1940,0,0,0
"aab",1941,0,0,0
"aab",1942,0,0,0
"aab",1943,0,0,0
"aab",1944,0,0,0
"aab",1945,0,0,0
"aab",1946,0,0,0
"aab",1947,0,0,0
"aab",1948,0,0,0
"aab",1949,0,0,0
"aab",1950,0,0,0
"aab",1951,0,0,0
"aab",1952,0,0,0
"aab",1953,0,0,0
"aab",1954,0,0,0
"aab",1955,0,0,0
"aab",1956,0,0,0
"aab",1957,0,0,0
"aab",1958,0,0,0
"aab",1959,0,0,0
"aab",1960,0,0,0
"aab",1961,0,0,0
"aab",1962,0,0,0
"aab",1963,0,0,0
"aab",1964,0,0,0
"aab",1965,0,0,0
"aab",1966,0,0,0
"aab",1967,0,0,0
"aab",1968,0,0,0
"aab",1969,0,0,0
"aab",1970,0,0,0
"aab",1971,0,0,0
"aab",1972,0,0,0
"aab",1973,0,0,0
"aab",1974,0,0,0
"aab",1975,0,0,0
"aab",1976,0,0,0
"aab",1977,0,0,0
"aab",1978,0,0,0
"aab",1979,0,0,0
"aab",1980,0,0,0
"aab",1981,0,0,0
"aab",1982,0,0,0
"aab",1983,0,0,4
"aab",1984,0,0,0
"aab",1985,0,0,0
"aab",1986,0,0,0
"aab",1987,0,0,0
"aab",1988,0,0,0
"aab",1989,0,0,0
"aab",1990,0,0,0
"aab",1991,0,0,0
"aab",1992,0,0,0
"aab",1993,0,0,0
"aab",1994,0,0,0
"aab",1995,0,0,0
"aab",1996,0,0,0
"aab",1997,0,0,0
"aab",1998,0,0,0
"aab",1999,0,0,0
"aab",2000,0,0,0
"aab",2001,0,0,0
"aab",2002,0,0,0
"aab",2003,0,0,0
"aab",2004,0,0,0
"aab",2005,0,0,0
"aab",2006,0,0,0
"aab",2007,0,0,0
"aab",2008,0,0,0
"aab",2009,0,0,0
"aab",2010,0,0,0
"aab",2011,0,0,0
"aab",2012,0,0,0
"aab",2013,0,0,0
"aab",2014,0,0,0
"afg",1816,0,0,0
"afg",1817,0,0,0
"afg",1818,0,0,0
"afg",1819,0,0,0
"afg",1820,0,0,0
