"country_name","country_code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"afghanistan, islamic republic of","afg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345.98,270.6,244.97,206.36,22.98,20.14,19.06,16.25,7.7,7.5,6.76,6.9,8.7,9.15,8.44,8,7.38,6.14,7.33,11.14,10.64,8.25,NA
"albania","alb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.63,29.36,34.69,51.41,57.01,57.79,63.38,60.61,64.1,60.24,57.47,58.2,56.69,53.55,55.14,59.67,57.71,59.4,62.12,65.53,70.03,72.67,72.38,70.12,67.61,65.73,74.3,74.49,64.46,59.13,59.23
"algeria","dza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.91,29.32,25.35,30.77,29.97,33.75,39.91,50.16,64.81,60.07,51.23,41.21,41.01,43.08,43.59,43.35,55.78,63.93,76.91,72.27,63.62,66.02,64.61,89.86,90.29,95.87,90.68,79.56,79.89,69.68,53.41,50,47.31,38.22,32.69,25.37,22.47,12.79,7.64,8.92,9.51,8.48,8.58,6.48,6.85,7.73,18.09,24.02,34.49,40.88,45.97,55.14,48.07,47.71,46.2
"angola","ago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.12,91.99,73.46,96.34,104.83,118.24,100.22,65.11,50.76,41.63,29.89,16.73,18.8,28.12,48.45,32.59,26.32,23.81,29.47,35.27,50.39,66.67,60.49,82.54,101.37,119.15,74.29,56.11,71.39,62.5
"antigua and barbuda","atg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.13,94.63,90.78,85.29,84.54,92.13,85.54,80.65,94.56,95.92,96.42,107.57,114.53,112.98,107.65,82.82,79.12,68.65,66.84,89.15,79.4,81.13,76.93,85.38,91.89,92.13,83.06,88.18,84.33,81.59,100.46,92.95,82.03,76.33,67.06
"argentina","arg",20.5,17.4,18.7,21.4,23.9,24.1,22,19.7,17.2,10.2,8.4,8.7,25.1,21.59,15.5,14.67,12.36,10.06,8.67,8.85,12.45,14.02,15.78,11.07,11.99,31.18,26.49,23.16,16.14,11.44,10.52,24.45,50.92,59.23,50.37,62.64,51.57,68.36,56.64,109.04,44.74,32.93,27.77,26.89,28.43,30.75,32.55,31.68,34.15,38.92,40.83,48.01,147.2,125.16,117.88,80.28,70.79,62.13,53.81,55.4,43.45,38.93,40.44,43.5,44.7,52.56,53.06,57.03,85.25,89.84,103.82,81.04,84.46,155.41,85.33
"armenia, republic of","arm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.79,46.51,45.2,39.2,39.6,38.06,38.25,33.02,26.45,24.4,18.73,16.1,16.15,40.16,39.67,42.01,41.23,40.86,43.69,48.7,56.75,58.94,55.65,53.67,67.36,63.35,49.25,50.72,50.3
"australia","aus",109.62,86.94,85.92,79.73,76.71,74.85,71.69,67.61,65.94,62.28,48.25,49.29,50.24,47.51,44.93,43.66,42.41,40.46,39.43,36.74,34.9,32.23,30.67,27.31,22.33,23.6,22.94,23.6,24.69,22.85,21.21,19.1,16.81,20.96,22.28,23.99,25.47,25.21,20.49,15.99,12.07,11.91,14.27,17.69,19.89,22.12,21.38,20.51,16.28,15.44,13.69,11.98,10.31,8.97,8.08,7.34,6.55,6.07,7.6,11.48,14.23,16.98,19.23,21.24,24.59,28.45,31.62,32.38,32.92,36.58,43.63,41.01,35.68,35.62,36.79
"austria","aut",21.04,14.52,12.91,15.8,13.74,11.44,10.51,7.99,10.98,13.07,13.2,11.91,11.54,11.66,11.61,11.05,10.51,11.67,12.51,12.54,12.06,10.65,9.92,9.88,9.48,14.6,17.62,19.59,22.45,23.86,25.12,26.68,28.75,32.87,35.34,37.52,41.89,45.62,45.61,45.69,45.78,46.48,46.54,50.32,53.02,55.55,55.92,57.12,57.15,58.1,56.83,55.35,55.07,55.03,56.35,56,54.62,52.22,55.5,58.93,60.12,59.44,59.87,60.38,59.44,58.21,58.41,57.51,55.23,52.76,62.57,62.42,60.44,59.78,62.12
"azerbaijan, republic of","aze",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.67,19.21,16.72,11.44,14.29,25.41,13.13,12.95,11.89,10.66,9.71,6.85,5.3,4,3.22,4.73,4.98,4.97,5.83,6.18,8.53,17.98,20.61,22.51,18.69,17.66,21.33,26.35,17.32,21.81,20.85
