"country_name","country_code","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"aruba, kingdom of the netherlands","abw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3317764521724,27.4576599190283,24.9890306252689,21.5736010517257,22.7983576361708,21.6055651997328,22.5083214568301,24.6598619756813,25.135690141461,29.2445126998595,24.4769402467007,24.8269284545651,22.6198005498878,25.359395474251,26.8877847390999,30.4434104294254,27.1992892708833,30.7611921072762,29.4541055387287,29.8341340755969,25.3732827855049,25.1190383974803,24.5583092242938,24.8627365488873,24.0358822193955,41.6611273829976,31.0854752254296,23.1179278843972,21.8179285730477,20.7666329937067,21.8094826789677,21.4013747723739,22.1080512041728,22.1103491009896,21.9678272380296,21.7689599775799,21.8258175311879
"afghanistan, islamic republic of","afg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.94308452478337,11.9274983370198,15.0687132951827,15.6505843198805,18.2622158918455,21.4475105141091,20.8993727350794,21.1511364650127,20.7891447918216,21.9366455778211,25.028204609336,24.9769754674692,25.4024492849051,25.9467418083646,28.0289751169703,27.731830470057,28.9356348144642,27.9990196329378,27.9370209050755,17.9338730127618,16.1155890993465,16.9669855146437,19.6690955579122,20.0118051245611,NA,NA,NA,NA,NA,NA
"angola","ago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3116959590441,31.068475736711,30.3200766252724,45.7136717588033,35.8207454494325,30.2743896979952,27.5690706449084,30.1224879151009,25.9992129349411,23.6907639133552,27.3310455265751,34.071567169582,47.200705152804,38.728505615832,34.5509594337345,33.3021834215002,33.1866551086713,32.9409917004538,32.3031230191311,23.8731704916928,19.1382420669741,20.724753175045,17.8302760328532,20.8611326397764,24.3848331141498,22.7783803459092,24.8413899356354,23.345964062266,18.9830630325992,18.8531466817588,16.8262560639722,17.2460446277954,17.5093019153951,17.5264387711466,17.3739709526285,17.2819694684198
"albania","alb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2998629079392,36.751295197358,37.1075022360952,33.837998385001,32.6850078477456,31.5345853687993,29.6799635100686,30.154812568209,28.8919956301697,29.1912162162772,29.3090131606222,31.7264850910695,32.6794780725222,29.386648760908,28.9232688906718,28.2291039783807,29.1927136400962,31.7291548208644,30.7578046622685,29.1394757445461,29.1615695419949,28.6693955919394,28.7316861897664,32.3842810465046,31.9434549636869,30.2832957568936,28.5439192444999,28.9366047306722,30.0797374853739,31.0296372717769,31.7081652338427,31.7974477329341,31.5134171694256,31.5983256611368,31.6354010519699
"andorra, principality of","and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7039309575459,24.9998275539572,24.2155455648534,23.6902548218582,23.3866954326847,25.1891899405836,27.6021941047937,29.4605213124628,29.9157895222395,28.8495895300714,29.1093334866256,33.9347578407236,31.9622386394071,31.6620558454373,33.3285685055935,34.5676101984821,34.8523238587071,35.930048768012,35.8443720201389,42.3278314350734,39.0399646655781,34.8896599406288,35.880351382628,37.126896872424,37.1855171013454,37.8399024725275,38.3563355866556,38.340318898921,38.3246797658273,38.3350380799214,38.4667407363398
"united arab emirates","are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9635642552715,29.5643235388878,31.49134362159,30.127787693529,26.1440631143834,27.6040889169011,22.5617434184791,25.8431258314508,24.2801453087951,21.7882108477347,25.228458125105,21.3327571534195,20.0499937056906,17.7088928925388,15.7437966158876,15.6272266741202,17.6568598169142,21.9507281354274,34.9969773967916,30.350786122417,29.6320704109926,27.7908630298635,28.8816764775653,31.4280081032413,26.4043605609963,31.7046609294314,27.2399237817347,25.8731511129795,27.4041295081808,30.4605833312594,25.9364263683783,22.7410915232694,22.6622597204416,21.4105495098808,22.5676610452726,22.4688902994941,22.9315171491218,23.3841312462438,23.8596576397357,24.1064421968026,24.3903577639911
"argentina","arg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.0171679502697,22.937570571182,22.862444143665,22.6867784933439,22.5857973725374,23.1304095314146,25.4712876241455,25.2472377755283,26.4324992367491,21.8530541525985,22.0258876312542,23.0295320813104,24.4255601255089,26.6166618194472,29.5505881707275,30.7623477504581,34.5244359270762,33.358068627652,34.9019005377252,36.821423141061,37.6029334549807,38.8529314990411,41.3663300502382,41.5220206770752,41.1214540211994,38.9492080400447,38.129057624397,42.4792397749966,37.8833652553928,37.6431228556008,37.6373481918487,31.0191815881713,31.6347239698634,31.3377288503132,31.8165389214836,31.9487288213688,32.1182048581359,32.1423563598405,32.1236567147462
"armenia, republic of","arm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8711341160781,20.0004678611045,22.4196701020121,22.2360244050614,28.5535024736993,26.200537132881,24.9643854588457,22.4147812747897,23.7967030411897,23.9907282798485,26.323363732438,26.9869616943049,25.9368301782087,24.0501796176097,24.8962967277492,30.6529271544573,28.6904757643657,26.3801163254315,26.8742068650126,28.9748221253607,29.2371703641642,30.30366495722,29.3391762035137,28.6228402605556,28.1129764495968,27.5739504323513,27.1090725825399
"antigua and barbuda","atg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.127794884491,20.7604069194601,18.6876401366229,19.4264802047032,21.1529364722796,20.9856302719292,19.5705924697875,16.7568116534035,20.6599904179739,20.3025458131092,21.0922131022604,24.1832486512601,26.3303451524837,24.2493928207292,21.9300550685831,21.5405428217105,26.02760248931,23.8190037415085,23.2086429079591,32.0778789216863,19.9626876315774,21.0858235508946,18.5317978394724,20.6989715309989,20.857486263892,24.831909822688,23.7803204154354,22.5501126417976,21.5387461159173,22.1089443815466,25.9771354411217,23.3858098808528,20.8103762966649,18.353351658655,20.2254296742418,19.2595335915425,22.2949985909918,22.165777354506,21.8994813055384,21.7616748400311,21.6602767667401,21.5363457884471
"australia","aus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.6357426688152,29.5617976942032,30.4337762472773,33.0125402179479,34.009701483046,34.0901459099279,33.6918331569541,33.6277603044805,33.4925944106611,32.7624262554946,34.5821645679297,36.1545844180994,35.1460853934934,35.555755983104,34.8557891687796,34.8523787762171,34.780839489193,34.519775064274,34.4746430367694,34.2378062208754,34.981348931186,37.6260962752252,36.8380674034158,36.1906581977363,36.3768861792145,36.2052297034979,36.5932503826807,37.1137725132937,37.1454282558867,36.6376704665184,36.7333136647645,38.7549596880155,44.3105672837348,41.6633420264561,37.4353258725011,37.4350166076064,38.7147050432377,39.451592394769,39.0540558320894,38.2940482541075,37.8972217265248,37.7232094269098,37.5640858393429,37.5266491671832
