"country_name","country_code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"afghanistan, islamic republic of","afg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.91,81.57,74.15,76.62,92.77,104.39,113.11,128.92,145.03,158.78,160.93,169.59,173.59,172.45,170.48,168.52,168.04,150.98,137.32,161.49,180.11,172.17,174.3,143.93,NA,NA,NA,NA,NA,NA,NA,NA,178.76,220.01,246.21,304.93,345.82,427.5,517.51,607.23,711.76,836.22,1033.59,1116.83,1183.04,1226.57,1222.92,1285.46,1327.69,1469.6,1547.29,1251.17,1283.44,1350.91,NA
"albania","alb",8.64,8.87,9.11,9.36,9.61,9.87,10.14,10.41,10.69,10.98,11.28,11.58,11.9,12.22,12.55,12.89,13.23,13.59,13.96,14.34,14.72,15.12,15.53,15.95,16.38,16.82,17.27,17.74,18.22,18.71,18.71,19.35,19.93,20.14,19.88,20.3,20.94,20.77,20.48,22.49,20.24,19.75,64.09,150.92,226.23,270.61,338.34,335.27,389.43,448.87,507.16,570.15,617.76,685.8,746.43,813.73,883.12,977.02,1093.54,1157.55,1254.4,1316.1,1348.67,1366.12,1411.91,1451.38,1490,1569.1,1656.21,1712.04,1655.98,1866.67,2149.74,2369.91,2530.04
"algeria","dza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.74,15.75,12.75,20.44,22.03,24.3,23.74,26.65,30.74,34.53,39.51,39.76,45.44,51.93,55.05,66.15,78.53,94.68,113.82,139.15,176.36,207.83,225.31,253.63,286.41,316.47,321.9,339.37,377.35,458.04,601.68,935.66,1166.35,1291.19,1614.25,2175.98,2789.18,3017.31,3071.89,3525.22,4475.17,4587.61,4901.72,5687.16,6623.36,7843.98,8941.66,9872.97,11649.69,10920.16,13224.72,15924.67,17611.81,18231.04,19253.77,18879.03,19783.35,21071.66,22683.85,23090.1,20902.12,25153.2,32039.5,33638.26,35536.5
"angola","ago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,1.34,2.82,4.11,27.61,126.98,273.04,753.57,1517.65,2255.45,3608.1,4713.88,5602.45,7412.58,6481.52,8781.31,11793.66,13706.61,14840.76,16165.67,15807.32,18781.82,23200.8,28873.39,34538.51,38466.15,53277.98,65604.31,75190.51,100854.82
"antigua and barbuda","atg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.04,0.06,0.1,0.18,0.21,0.24,0.3,0.36,0.4,0.45,0.5,0.57,0.67,0.8,0.94,1.11,1.23,1.29,1.36,1.42,1.53,1.69,1.66,1.83,1.98,2.13,2.26,2.43,2.37,2.42,2.56,2.77,3.09,3.52,4.02,4.21,3.74,3.51,3.48,3.68,3.58,3.72,3.88,4.02,4.14,4.49,4.66,3.81,4.33,5.04,5.42,6.01
"argentina","arg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.03,0.12,3.63,77.06,202.26,253.4,264.43,287.84,288.5,304.28,327.44,334.24,317,317.76,300.42,349.49,420.29,485.12,582.54,715.9,896.98,1149.65,1247.93,1661.72,2179.02,2637.91,3348.31,4579.09,5954.51,8228.16,10660.23,14744.81,21558.44,27209.81,46219.08,82652.82,191405,579245.8
"armenia, republic of","arm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.08,0.29,3.9,187.06,522.26,661.21,804.34,955.38,987.44,1031.34,1175.88,1362.47,1624.64,1907.95,2242.88,2656.19,3149.28,3568.23,3141.65,3460.2,3777.95,4266.46,4555.64,4828.63,5043.63,5067.29,5564.49,6017.04,6543.32,6181.9,6991.78,8501.45,9453.18,10125.25
"australia","aus",8.41,9.21,9.65,10.53,11.47,12.44,13.35,13.56,14.68,16.24,17.18,17.28,18.59,20.4,22.4,24.24,25.85,28.24,31.03,34.69,38.48,42.49,46.36,54.9,65.52,76.44,90.14,100.33,111.05,126.55,142.98,163.93,183.85,198.89,224.13,248.84,270.51,304.06,345.74,389.24,414.94,416.44,432.5,454.58,482.97,511.43,542.4,573.07,606.13,638.38,687.43,730.49,782.37,830.19,894.33,964.21,1039.95,1133.01,1235.36,1264.78,1364.46,1468.21,1515.87,1569.45,1613.99,1639.52,1697.37,1801.2,1894.25,1993.43,1973.59,2202.57,2482.84,2620.92,2722.07
"austria","aut",3.97,5.28,6.12,6.29,7.06,8.09,9,9.96,10.35,11.01,12.29,13.63,14.49,15.62,17.1,18.59,20.26,21.54,23.14,25.27,28.37,31.97,36.53,41.37,47.08,49.97,55.19,61.05,64.46,70.34,75.56,80.44,86.35,92.02,96.6,101.81,107.01,111.11,118.97,127.26,136.77,146.63,154.91,160.02,168,175.61,181.54,187.78,195.27,203.07,212.41,219.37,225.09,230.54,240.54,252.36,265.93,282.21,291.85,286.27,294.05,308.17,316.59,321.19,330.11,342.08,355.67,367.29,383.23,395.71,380.32,406.23,448.19,473.85,481.74
"azerbaijan, republic of","aze",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.03,0.71,2.13,2.73,3.44,3.31,3.78,4.72,5.32,6.06,7.15,8.53,12.52,18.75,28.36,40.14,35.6,42.47,52.08,54.74,58.18,59.01,54.38,60.43,70.34,80.09,81.9,72.58,93.2,133.97,123.13,126.34
