"country_name","country_code","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"aruba, kingdom of the netherlands","abw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13707.689,13947.141,15339.075,16580.538,16989.122,18403.086,18615.346,18990.055,19483.689,21184.253,22019.195,22734.059,24605.925,26166.575,23394.098,22460.2,24440.011,24334.537,25458.47,25945.459,27327.778,27469.588,28424.897,30082.704,30698.482,22653.202,26386.264,30442.706,35455.858,39262.362,41461.922,42862.309,44544.933,46141.99,47798.044,49477.018,51163.041
"afghanistan, islamic republic of","afg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.946,201.051,218.461,252.618,272.189,330.295,389.63,440.607,543.652,611.642,666.089,639.473,630.136,594.213,520.267,529.773,499.799,499.762,516.664,356.063,357.347,416.066,417.767,448.457,NA,NA,NA,NA,NA,NA
"angola","ago",1073.7,978.453,953.236,968.054,999.72,1093.018,994.918,1108.923,1171.219,1326.086,1421.726,1332.574,994.365,698.976,492.741,594.752,741.682,841.973,690.242,631.585,780.893,739.132,999.066,1133.663,1451.471,2145.886,2930.444,3515.057,4578.155,3645.148,4101.637,5184.153,5702.453,5876.457,6054.627,4675.829,3991.11,4693.613,3689.034,2940.789,1977.089,2404.183,3905.445,3078.515,3156.168,3614.423,3754.028,3677.296,3660.769,3655.137,3684.508,3731.752
"albania","alb",728.359,817.734,824.542,815.529,788.332,788.801,855.724,832.245,805.046,860.784,675.736,408.022,259.75,452.623,736.028,903.989,1009.967,706.623,816.622,1037.599,1129.033,1283.237,1427.675,1829.632,2371.13,2673.773,2972.745,3595.053,4370.562,4114.09,4097.833,4439.89,4248.909,4415.6,4584.919,3953.611,4124.405,4542.76,5365.55,5459.304,5381.096,6396.387,6908.102,8594.203,9948.352,11234.556,12492.636,13216.543,14147.523,15136.811,16204.047,17352.859
"andorra, principality of","and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49030.229,51957.313,45713.97,45630.195,46299.282,38877.485,39595.317,40017.741,42229.903,40688.491,36973.845,41806.876,41378.881,44483.604,46409.851,50378.881,53474.513,54250.409,54889.574,55524.101,56118.223,57376.819
"united arab emirates","are",41311.881,42237.276,36927.264,32717.479,29957.847,27912.523,21198.712,22345.786,19032.876,21142.453,27484.598,25577.028,25833.806,25033.005,25737.492,26309.298,29821.12,29909.645,26571.562,27833.669,32495.862,30877.714,30969.024,32166.941,34944.807,39389.226,45239.607,46090.439,48548.6,37428.383,44180.166,50925.197,52099.412,52204.086,51369.621,43712.262,41800.681,43304.547,46974.083,45615.088,38448.752,42839.579,49704.159,48941.279,48905.827,50231.644,54214.399,56178.75,59035.095,62179.064,65387.413,69186.501
"argentina","arg",8361.209,6671.428,3257.853,3962.735,4374.783,3248.745,3857.027,3909.984,4524.498,2867.307,4857.796,6429.454,7653.711,7796.24,8378.735,8295.123,8645.455,9196.516,9283.175,8709.072,8638.543,8085.356,2997.621,3761.088,4314.098,5163.55,5976.082,7315.726,9146.79,8337.811,10412.974,12787.806,13889.792,14488.829,13208.831,14895.316,12772.868,14618.327,11786.433,9941.59,8489.332,10610.191,13702.23,13908.489,13538.693,14354.988,14356.619,14530.185,15269.025,15990.781,16700.625,17423.59
"armenia, republic of","arm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.321,247.884,199.126,396.205,492.571,506.52,585.902,572.933,595.169,662.051,746.684,886.946,1136.729,1567.095,2054.635,2982.239,3803.669,2847.479,3066.164,3353.7,3514.003,3690.126,3863.927,3526.713,3539.624,3882.604,4205.216,4598.782,4267.453,4674.214,6539.113,7972.505,8555.65,9520.965,10409.851,10994.913,11641.503,12507.393,13468.766,14500.921
"antigua and barbuda","atg",1935.185,2199.885,2479.482,2794.113,3259.986,3849.091,4730.844,5612.084,6756.819,7544.716,7942.795,8300.01,8503.023,8956.805,9647.492,9257.868,9930.48,10443.403,10931.956,11286.196,11918.516,11416.566,11563.672,12091.262,12959.362,14297.453,16123.605,18197.385,18843.264,16580.39,15342.915,15045.044,15723.96,15050.657,15423.336,15839.184,16163.761,16401.359,17470.66,17899.372,14419.909,16128.189,18428.877,20099.773,20887.646,21675.729,22447.516,23156.217,23887.22,24642.712,25423.55,26230.625
"australia","aus",11021.309,12544.129,12250.122,11606.529,12590.852,10981.344,11259.318,13014.911,16266.362,18232.203,18903.424,18694.805,18137.817,17480.592,19778.159,20960.366,23203.426,23074.735,20430.063,21813.868,20951.98,19538.175,21740.244,27337.48,32914.151,36319.707,38049.787,45295.817,49335.216,45926.875,56757.308,67508.541,68733.794,65525.921,61889.636,51652.457,51985.08,55994.408,56573.19,54543.96,53321.573,64411.291,65775.618,64851.313,65700.943,66351.856,75647.841,77822.946,79735.545,81809.562,84347.972,86913.276
