"ccode","year","ideology"
"aus",1901,6.21526551020408
"aus",1902,6.21526551020408
"aus",1903,5.74723764458465
"aus",1904,5.74723764458465
"aus",1905,5.74723764458465
"aus",1906,5.51382278738555
"aus",1907,5.51382278738555
"aus",1908,5.51382278738555
"aus",1909,5.51382278738555
"aus",1910,5.55105152471083
"aus",1911,5.55105152471083
"aus",1912,5.55105152471083
"aus",1913,5.64887114989733
"aus",1914,5.57533098878695
"aus",1915,5.57533098878695
"aus",1916,5.57533098878695
"aus",1917,6.59976422018349
"aus",1918,6.59976422018349
"aus",1919,6.36627780149413
"aus",1920,6.36627780149413
"aus",1921,6.36627780149413
"aus",1922,6.40678597046414
"aus",1923,6.40678597046414
"aus",1924,6.40678597046414
"aus",1925,6.44038737270876
"aus",1926,6.44038737270876
"aus",1927,6.44038737270876
"aus",1928,6.3778582898853
"aus",1929,6.12546489361702
"aus",1930,6.12546489361702
"aus",1931,5.86065653594771
"aus",1932,5.86065653594771
"aus",1933,5.86065653594771
"aus",1934,5.51710130434783
"aus",1935,5.51710130434783
"aus",1936,5.51710130434783
"aus",1937,5.79971127835951
"aus",1938,5.79971127835951
"aus",1939,5.79971127835951
"aus",1940,5.45256077348066
"aus",1941,5.45256077348066
"aus",1942,5.45256077348066
"aus",1943,5.01551698337292
"aus",1944,5.01551698337292
"aus",1945,5.01551698337292
"aus",1946,5.28300652849741
"aus",1947,5.28300652849741
"aus",1948,5.28300652849741
"aus",1949,5.76014932362123
"aus",1950,5.76014932362123
"aus",1951,5.72437078651685
"aus",1952,5.72437078651685
"aus",1953,5.72437078651685
"aus",1954,5.61862595262616
"aus",1955,5.64706334702259
"aus",1956,5.64706334702259
"aus",1957,5.64706334702259
"aus",1958,5.59966707193516
"aus",1959,5.59966707193516
"aus",1960,5.59966707193516
"aus",1961,5.43781600810537
"aus",1962,5.43781600810537
"aus",1963,5.57453427704752
"aus",1964,5.57453427704752
"aus",1965,5.57453427704752
"aus",1966,5.74853395061728
"aus",1967,5.74853395061728
"aus",1968,5.74853395061728
"aus",1969,5.51834709543569
"aus",1970,5.51834709543569
"aus",1971,5.51834709543569
"aus",1972,5.46345638945233
"aus",1973,5.46345638945233
"aus",1974,5.60771327254306
"aus",1975,5.84738094747683
"aus",1976,5.84738094747683
"aus",1977,5.62257675126904
"aus",1978,5.62257675126904
"aus",1979,5.62257675126904
"aus",1980,5.5670843877551
"aus",1981,5.5670843877551
"aus",1982,5.5670843877551
"aus",1983,5.46835005107252
"aus",1984,5.52771664964249
"aus",1985,5.52771664964249
"aus",1986,5.52771664964249
"aus",1987,5.56864887295082
"aus",1988,5.56864887295082
"aus",1989,5.56864887295082
"aus",1990,5.46279252336449
"aus",1991,5.46279252336449
"aus",1992,5.46279252336449
"aus",1993,5.49300190274841
"aus",1994,5.49300190274841
"aus",1995,5.49300190274841
"aus",1996,5.56219958246347
"aus",1997,5.56219958246347
"aus",1998,5.65117085953878
"aus",1999,5.65117085953878
"aus",2000,5.65117085953878
"aus",2001,5.54297193717278
"aus",2002,5.54297193717278
"aus",2003,5.54297193717278
"aus",2004,5.56221324296142
"aus",2005,5.56221324296142
"aus",2006,5.56221324296142
"aus",2007,5.33334347368421
"aus",2008,5.33334347368421
"aus",2009,5.33334347368421
"aus",2010,5.15789766785191
"aus",2011,5.15789766785191
"aus",2012,5.15789766785191
"aus",2013,5.3959373220268
"aus",2014,5.3959373220268
"aus",2015,5.3959373220268
"aus",2016,5.27965508365508
"aus",2017,5.27965508365508
"aus",2018,5.27965508365508
"aus",2019,5.30118964657415
"aus",2020,5.30118964657415
"aut",1919,5.40032420651714
"aut",1920,5.60230152583395
"aut",1921,5.60230152583395
"aut",1922,5.60230152583395
"aut",1923,5.59023330511165
"aut",1924,5.59023330511165
"aut",1925,5.59023330511165
"aut",1926,5.59023330511165
"aut",1927,5.43502448896157
"aut",1928,5.43502448896157
"aut",1929,5.43502448896157
"aut",1930,5.84873516550258
"aut",1931,5.84873516550258
"aut",1932,5.84873516550258
"aut",1933,5.84873516550258
"aut",1934,5.84873516550258
"aut",1935,5.84873516550258
"aut",1936,5.84873516550258
"aut",1937,5.84873516550258
"aut",1938,5.84873516550258
"aut",1939,5.84873516550258
"aut",1940,5.84873516550258
"aut",1941,5.84873516550258
"aut",1942,5.84873516550258
"aut",1943,5.84873516550258
"aut",1944,5.84873516550258
"aut",1945,4.92381883767535
"aut",1946,4.92381883767535
"aut",1947,4.92381883767535
"aut",1948,4.92381883767535
"aut",1949,5.32047326633166
"aut",1950,5.32047326633166
"aut",1951,5.32047326633166
"aut",1952,5.32047326633166
"aut",1953,5.20089638554217
"aut",1954,5.20089638554217
"aut",1955,5.20089638554217
"aut",1956,5.15117917917918
"aut",1957,5.15117917917918
"aut",1958,5.15117917917918
"aut",1959,5.1913288
"aut",1960,5.1913288
"aut",1961,5.1913288
"aut",1962,5.21049114688129
"aut",1963,5.21049114688129
"aut",1964,5.21049114688129
"aut",1965,5.21049114688129
"aut",1966,5.4775603074141
"aut",1967,5.4775603074141
"aut",1968,5.4775603074141
"aut",1969,5.4775603074141
"aut",1970,5.18349728915663
"aut",1971,5.1208593
"aut",1972,5.1208593
"aut",1973,5.1208593
"aut",1974,5.1208593
"aut",1975,5.1185990990991
"aut",1976,5.1185990990991
"aut",1977,5.1185990990991
"aut",1978,5.1185990990991
"aut",1979,5.1285691
"aut",1980,5.1285691
"aut",1981,5.1285691
"aut",1982,5.1285691
"aut",1983,5.11500241935484
"aut",1984,5.11500241935484
"aut",1985,5.11500241935484
"aut",1986,5.23322510040161
"aut",1987,5.23322510040161
"aut",1988,5.23322510040161
"aut",1989,5.23322510040161
"aut",1990,5.31858524923703
"aut",1991,5.31858524923703
"aut",1992,5.31858524923703
"aut",1993,5.31858524923703
"aut",1994,5.53423780487805
"aut",1995,5.54549492900609
"aut",1996,5.54549492900609
"aut",1997,5.54549492900609
"aut",1998,5.54549492900609
"aut",1999,5.69631569826707
"aut",2000,5.69631569826707
"aut",2001,5.69631569826707
"aut",2002,5.25473761458648
"aut",2003,5.25473761458648
"aut",2004,5.25473761458648
"aut",2005,5.25473761458648
"aut",2006,5.23388875502008
"aut",2007,5.23388875502008
"aut",2008,5.72724584697218
"aut",2009,5.72724584697218
"aut",2010,5.72724584697218
"aut",2011,5.72724584697218
"aut",2012,5.72724584697218
"aut",2013,5.58727098078868
"aut",2014,5.58727098078868
"aut",2015,5.58727098078868
"aut",2016,5.58727098078868
"aut",2017,5.85762042900919
"aut",2018,5.85762042900919
"aut",2019,5.51234564777328
"aut",2020,5.51234564777328
"bel",1900,5.47453222453222
"bel",1901,5.47453222453222
"bel",1902,5.7079107505071
"bel",1903,5.7079107505071
"bel",1904,5.36816301199834
"bel",1905,5.36816301199834
"bel",1906,5.4175991861648
"bel",1907,5.4175991861648
"bel",1908,5.38801611278953
"bel",1909,5.38801611278953
"bel",1910,5.41144578313253
"bel",1911,5.41144578313253
"bel",1912,5.11350806451613
"bel",1913,5.11350806451613
"bel",1914,5.26576032225579
"bel",1915,5.26576032225579
"bel",1916,5.26576032225579
"bel",1917,5.26576032225579
"bel",1918,5.26576032225579
"bel",1919,4.91033369214209
"bel",1920,4.91033369214209
"bel",1921,5.06936936936937
"bel",1922,5.06936936936937
"bel",1923,5.06936936936937
"bel",1924,5.06936936936937
"bel",1925,4.77562761506276
"bel",1926,4.77562761506276
"bel",1927,4.77562761506276
"bel",1928,4.77562761506276
"bel",1929,4.81907216494845
"bel",1930,4.81907216494845
"bel",1931,4.81907216494845
"bel",1932,4.77446592065107
"bel",1933,4.77446592065107
"bel",1934,4.77446592065107
"bel",1935,4.77446592065107
