"ccode","year","HL","F","SELF","G","P","vfi","logG","logP","Fed"
"afg",1990,0,0,NA,NA,12045660,NA,NA,16.3042149870505,0
"afg",1991,0,0,NA,NA,12238879,NA,NA,16.320128245887,0
"afg",1992,0,0,NA,NA,13278974,NA,NA,16.4016924399918,0
"afg",1993,4,1,NA,NA,14943172,NA,NA,16.5197650310635,0
"afg",1994,2.5,0.5,NA,NA,16250794,NA,NA,16.6036523270848,0
"afg",1995,1,0,NA,NA,17065836,NA,NA,16.6525891282821,0
"afg",1996,0,0,NA,NA,17763266,NA,NA,16.6926431750178,0
"afg",1997,1,0,NA,NA,18452091,NA,NA,16.7306882553624,0
"afg",1998,1,1,NA,NA,19159996,NA,NA,16.7683351217387,0
"afg",1999,4,1,NA,NA,19887785,NA,NA,16.8056162821352,0
"afg",2000,4,1,NA,308.3182697,20130327,NA,5.73113259262384,16.8177380418954,0
"afg",2001,4,3.5,NA,277.1180514,20284307,NA,5.62444359373849,16.8253580908644,0
"afg",2002,4,1,NA,338.1399736,21378117,NA,5.82345993283465,16.8778783867171,0
"afg",2003,4,1,NA,346.0716271,22733049,NA,5.84664576837301,16.939330326736,0
"afg",2004,4,1,NA,338.6372739,23560654,NA,5.82492954603852,16.9750886752758,0
"afg",2005,4,1,NA,363.6401414,24404567,NA,5.89616475609969,17.0102808448801,0
"afg",2006,4,0.5,NA,367.7583117,25424094,0.466830760240555,5.90742596072172,17.0512078650457,0
"afg",2007,4,1,NA,410.7577289,25909852,0.204351827502251,6.01800357329543,17.0701338404417,0
"afg",2008,4,0.5,NA,417.6472826,26482622,-0.0073013799265027,6.03463725477586,17.091999302258,0
"afg",2009,4,0.5,NA,488.8306525,27466101,-0.100034102797508,6.19201611558843,17.1284631113393,0
"afg",2010,4,0,NA,542.8710305,28284089,0.110443100333214,6.29687177883194,17.1578099783567,0
"afg",2011,4,0,NA,525.4269828,29347708,-0.481104135513306,6.26421123261335,17.1947250091959,0
"afg",2012,4,0,NA,568.9290215,30560034,-0.272376477718353,6.34375568381458,17.2352036348274,0
"afg",2013,1,1,NA,580.6038333,31622704,0.2959164083004,6.36406865387669,17.2693859015859,0
"afg",2014,1.75,0,NA,575.1462458,32792523,-0.440319657325745,6.35462434898002,17.3057110900511,0
"ago",1990,0,0,NA,2675.052394,11626360,NA,7.89172424568035,16.2687854918423,0
"ago",1991,0,0,NA,2612.331705,12023529,NA,7.86799847505931,16.302376037991,0
"ago",1992,0,0,NA,2380.582742,12423712,NA,7.77510058627459,16.3351174626019,0
"ago",1993,0,0,NA,1752.723187,12827135,NA,7.46892596429498,16.3670734069011,0
"ago",1994,1,0,NA,1719.542945,13249764,NA,7.44981380484396,16.3994902989171,0
"ago",1995,4,1,NA,1912.517775,13699778,NA,7.55617585977515,16.4328901862875,0
"ago",1996,0,0,NA,2099.350454,14170973,NA,7.649383268247,16.4667062755056,0
"ago",1997,3,0,NA,2176.87758,14660413,NA,7.68564682630475,16.5006614259223,0
"ago",1998,0,0,NA,2203.986927,15159370,NA,7.69802323876701,16.5341293805868,0
"ago",1999,0,0,NA,2179.06427,15667235,NA,7.68665082969092,16.567082146944,0
"ago",2000,0,0,NA,2172.463267,16194869,NA,7.68361694882629,16.6002050216385,0
"ago",2001,4,1,NA,2189.173522,16747208,NA,7.69127936436746,16.6337421157744,0
"ago",2002,4,0,NA,2404.977921,17327699,NA,7.78529600204034,16.6678168773426,0
"ago",2003,0,0,NA,2403.404152,17943712,NA,7.78464140802834,16.7027503051203,0
"ago",2004,0,0,NA,2583.324115,18600423,NA,7.85683226528582,16.7386948803603,0
"ago",2005,3,0,NA,2843.396636,19291161,NA,7.95275461511023,16.775157569696,0
"ago",2006,0,0,NA,3065.055762,20015279,NA,8.02782104135327,16.812006489857,0
"ago",2007,0,0,NA,3336.363325,20778561,NA,8.11263666792004,16.8494322919594,0
"ago",2008,0,0,NA,3559.195225,21578655,NA,8.17728973789731,16.8872151896239,0
"ago",2009,4,0,NA,3494.807245,22414773,NA,8.1590335015018,16.9252308083734,0
"ago",2010,0,0,NA,3540.791596,23294825,NA,8.17210559581905,16.9637417908631,0
"ago",2011,0,0,NA,3528.168244,24218352,NA,8.16853410419825,17.0026212508345,0
"ago",2012,0,0,NA,3682.352293,25177394,NA,8.21130703700959,17.0414570863873,0
"ago",2013,4,0,NA,3716.297187,26165620,NA,8.22048307170899,17.0799568932845,0
"ago",2014,0,0,NA,3746.8162,27160769,NA,8.22866174501518,17.1172841739506,0
"alb",1990,0,0,NA,1682.881087,3286542,NA,7.42826253631729,15.0053465061568,0
"alb",1991,0,0,NA,1218.964273,3266790,NA,7.10575682060222,14.999318409362,0
"alb",1992,3,0,0,1138.23774,3247039,NA,7.03723650323661,14.9932540621,0
"alb",1993,4,1,0,1254.678884,3227287,NA,7.13463494950303,14.9871524041727,0
"alb",1994,4,1,0,1367.22059,3207536,NA,7.22053519166458,14.9810135991034,0
"alb",1995,1,0,0,1558.966386,3187784,NA,7.35177830756811,14.974836562519,0
"alb",1996,0,0,0,1683.769655,3168033,NA,7.42879040100462,14.9686214485289,0
"alb",1997,2,0,0,1495.900353,3148281,NA,7.31048354735873,14.9623671475599,0
"alb",1998,4,1,0,1630.438741,3128530,NA,7.39660442383974,14.9560738036346,0
"alb",1999,4,1,0,1841.807628,3108778,NA,7.5185027748793,14.9497402808947,0
"alb",2000,3,0,2,1991.914359,3089027,NA,7.59685144475046,14.9433667125553,0
"alb",2001,3,0,2,2188.918545,3060173,NA,7.69116288577524,14.9339820082782,0
"alb",2002,1,0,2,2297.108535,3051010,NA,7.73940645233468,14.9309832413073,0
"alb",2003,0,0,2,2428.689347,3039616,NA,7.79510702745136,14.9272417496144,0
"alb",2004,0,0,2,2567.297637,3026939,NA,7.85060912155919,14.9230624358352,0
"alb",2005,0,0,2,2712.869838,3011487,NA,7.90576233436092,14.9179445346709,0
"alb",2006,0,0,2,2894.360326,2992547,NA,7.97051940738844,14.9116354222224,0
"alb",2007,0,0,2,3105.879676,2970017,NA,8.04105226374383,14.9040782346682,0
"alb",2008,0,0,2,3345.981618,2947314,NA,8.11551538780783,14.8964048050768,0
"alb",2009,0,0,2,3459.246956,2927519,NA,8.14880620158958,14.8896658646123,0
"alb",2010,0,0,2,3579.824132,2913021,NA,8.1830689530484,14.8847012449784,0
"alb",2011,2,0,2,3677.894579,2905195,0.753796279430389,8.21009574216512,14.8820110716608,0
"alb",2012,0,0,2,3771.847819,2900401,0.758138597011566,8.23532029802961,14.8803595612595,0
"alb",2013,0,0,2,3895.899756,2895092,0.788613855838776,8.26767993445194,14.8785274474135,0
"alb",2014,0,0,2,4045.119349,2889104,0.767938315868378,8.30526633437252,14.8764569774159,0
"are",1990,4,1,NA,66481.61376,1898220,NA,11.1046807036029,14.4564271629206,0
"are",1991,4,1,NA,63430.91546,2006626,NA,11.0577066471267,14.5119652626308,0
"are",1992,1,0,NA,62201.62434,2114730,NA,11.0381363931773,14.5644377027389,0
"are",1993,0,0,NA,59942.85886,2222093,NA,11.0011470350953,14.6139601024913,0
"are",1994,3,0,NA,61156.65096,2328188,NA,11.0211938998779,14.6606008405866,0
"are",1995,0,0,NA,62393.33149,2434662,NA,11.0412136814994,14.7053184958291,0
"are",1996,0,0,NA,61871.36716,2597564,NA,11.0328127855817,14.770084640728,0
"are",1997,0,0,NA,61715.55497,2817410,NA,11.030291284603,14.8513285811738,0
"are",1998,0,0,NA,57355.78583,3040421,NA,10.957029003781,14.9275065506361,0
"are",1999,3,0,NA,54943.7501,3266009,NA,10.9140652154195,14.9990793081732,0
"are",2000,1,0,NA,56939.27018,3493575,NA,10.9497405433983,15.0664361251856,0
"are",2001,0,0,NA,54169.41535,3723590,NA,10.8998717357194,15.1301988146478,0
"are",2002,0,0,NA,52216.87532,3956826,NA,10.8631610036187,15.1909527466941,0
"are",2003,3,0,NA,53619.19257,4192457,NA,10.8896623533028,15.2487975162166,0
"are",2004,4,0,NA,55611.4194,4428967,NA,10.9261438440422,15.3036769319857,0
"are",2005,0,0,NA,55363.5661,4664790,NA,10.9216770047631,15.3555533751732,0
"are",2006,0,0,NA,56629.97614,5009100,NA,10.9442937377763,15.4267668162052,0
"are",2007,0,0,NA,52038.61596,5624635,NA,10.8597413365772,15.5426666150605,0
"are",2008,0,0,NA,47922.69882,6302664,NA,10.7773445504856,15.6564829591257,0
"are",2009,0,0,NA,42672.19879,6707058,NA,10.6613029049692,15.718670962726,0
"are",2010,0,0,NA,42328.85082,6869838,NA,10.6532241850246,15.7426510831345,0
"are",2011,4,0,NA,43687.77828,7104538,-0.215951010584831,10.6848236687413,15.7762442927686,0
"are",2012,0,0,NA,43958.56811,7391448,-0.26411184668541,10.6910028354211,15.8158342141906,0
"are",2013,0,0,NA,44312.63372,7693031,-0.250667214393616,10.6990251009286,15.8558254120703,0
"are",2014,0,0,NA,44257.65148,8059440,-0.0170220769941807,10.6977835502903,15.9023546331609,0
"arg",1990,3,0,14.09,8115.093864,32755901,NA,9.00148104661008,17.3045936870206,1
"arg",1991,3,0,14.14,8729.823185,33230294,NA,9.07450039490574,17.3189724877187,1
"arg",1992,0,0,14.14,9293.186923,33693527,NA,9.13703682174222,17.3328162997221,1
"arg",1993,4,0,14.14,9920.673586,34152717,NA,9.20237609978821,17.3463527015776,1
"arg",1994,4,0,14.14,10359.89272,34613491,NA,9.2456971605475,17.3597540773263,1
"arg",1995,0,0,14.14,9934.107761,35070020,NA,9.20372934330325,17.3728571924042,1
"arg",1996,0,0,15,10352.14,35513793,NA,9.24494854060596,17.3854317141967,1
"arg",1997,0,0,15,11056.68813,35947791,NA,9.31079078448304,17.39757819379,1
"arg",1998,0,0,15,11348.20221,36372860,NA,9.33681461476893,17.4093334501102,1
"arg",1999,0,0,15,10838.31993,36794682,NA,9.29084327497437,17.4208638818269,1
"arg",2000,2,0,15,10631.65036,37213984,NA,9.27159071422405,17.4321951625839,1
"arg",2001,0,0,15,10051.94485,37624825,NA,9.21552141217808,17.4431746298597,1
