"country","ccode","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"afghanistan, islamic republic of","afg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647536396980286,0.265050917863846,0.144005432724953,0.351764857769012,0.303060859441757,0.316451042890549,0.135695993900299,0.164555907249451,0,0,0.268035233020782,0.402343809604645,NA,NA,NA
"albania","alb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735698640346527,0.720018327236176,0.758102476596832,0.801507949829102,0.737329185009003,0.769492030143738,0.751663982868195,0.71068811416626,0.656711041927338,0.673663556575775
"armenia, republic of","arm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473592877388,0.505606472492218,0.760201573371887,0.468559235334396,0.479692995548248,0.53278386592865,0.605634748935699,0.724801361560822,0.457056283950806,0.480588108301163,0.508906006813049,0.46266970038414,0.470345705747604,0.419860541820526,0.434932410717011,0.4801165163517,-0.0397634580731392,0.232606753706932
"australia","aus",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.327931821346283,0.335163444280624,0.39602866768837,0.429677933454514,0.418697208166122,0.409198313951492,0.409337759017944,0.403712153434753,0.385617911815643,0.390282094478607,0.395472049713135,0.407353222370148,0.401868522167206,0.382368683815002,0.357029110193253,0.3696528673172,0.378597259521484,0.373957425355911,0.378338038921356,0.366020172834396,0.35766926407814,0.325008809566498
"austria","aut",NA,NA,NA,NA,NA,0.588858008384705,0.607477486133575,0.698885023593903,0.689404606819153,0.693331658840179,0.697019934654236,0.703538954257965,0.694595396518707,0.682891368865967,0.676173210144043,0.677890539169312,0.668171584606171,0.680703699588776,0.692657172679901,0.644144415855408,0.62945544719696,0.671960890293121,0.683180868625641,0.693285942077637,0.690603792667389,0.699125707149506,0.665728092193604,0.689047515392303,0.683992087841034,0.68758887052536,0.643388628959656
"azerbaijan, republic of","aze",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.662853300571442,0.723560512065887,0.76505047082901,0.788148641586304,0.533671438694,0.450350075960159,0.610008418560028,0.70115739107132,0.568954944610596,0.609403192996979,0.558570623397827,0.532149791717529,NA
"belarus, republic of","blr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166744664311409,0.167057111859322,0.204995930194855,0.299835026264191,0.350407958030701,0.303204864263535,0.258488833904266,0.329213082790375,0.378921777009964,0.323465794324875,0.31060129404068,0.251539826393127,0.181304752826691,0.141396313905716,0.134958788752556,0.164821594953537,0.18156410753727,0.198713466525078
"belgium","bel",NA,NA,NA,NA,NA,0.602936863899231,0.607430756092072,0.619306027889252,0.636838793754578,0.634476840496063,0.624865710735321,0.651148438453674,0.552192270755768,0.55949729681015,0.561934947967529,0.564007818698883,0.554616212844849,0.564135313034058,0.564726233482361,0.529608011245728,0.51873105764389,0.526837110519409,0.528678596019745,0.527978599071503,0.53192800283432,0.510817408561707,0.515885472297668,0.514544785022736,0.493381440639496,0.505962431430817,0.46124279499054
"bosnia and herzegovina","bih",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108991399407387,0.116283036768436,0.175554245710373,0.096000112593174,0.101423628628254,0.0826660469174385,0.0494040921330452,0.0694782510399818,0.0554983653128147,0.0730496570467949,0.0288026481866837,0.0287288576364517,0.103799290955067,0.10634333640337,0.0563792511820793,0.0910426825284958
"brazil","bra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.321991622447968,0.34489119052887,0.337366998195648,0.320209056138992,0.318446785211563,0.300665825605392,0.322243332862854,0.319480776786804,0.329974144697189,0.337432593107224,0.38908463716507
"bulgaria","bgr",0.0891185626387596,0.248686030507088,0.354117870330811,0.459250152111053,0.466776221990585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cambodia","khm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425193160772324,0.56016343832016,0.374804884195328,0.492508143186569,0.462571799755096,0.463502585887909,0.575798034667969,0.573901534080505,0.703483462333679
"canada","can",0.158235222101212,0.149318873882294,0.151193410158157,0.15343776345253,0.148815631866455,0.154709994792938,0.139541953802109,0.122968457639217,0.122711591422558,0.140759915113449,0.131464466452599,0.131858333945274,0.123483791947365,0.138731420040131,0.132513955235481,0.175086989998817,0.151239052414894,0.154863774776459,0.16284866631031,0.159287825226784,0.179459095001221,0.158704668283463,0.155339688062668,0.156577110290527,0.157063469290733,0.155849188566208,0.159370765089989,0.163405954837799,0.160474047064781,0.172391667962074,0.203954771161079
"chile","chl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345051765441895,0.347286492586136,0.341803908348084,0.339423179626465,0.34301221370697,0.312396705150604,0.306418210268021,0.289402425289154,0.347899228334427,0.346805810928345,0.450317353010178,0.440873324871063,0.479780822992325,0.499972879886627,0.525490522384644,0.503414630889893,0.510705649852753,0.528720855712891,0.535548448562622,0.530227184295654,0.523374736309052
"colombia","col",NA,NA,NA,NA,NA,NA,NA,NA,0.369740605354309,0.386075288057327,0.367995917797089,NA,NA,0.676291823387146,0.52329158782959,0.434983611106873,0.43230676651001,0.374405562877655,0.548502802848816,0.48205554485321,0.484188050031662,0.46625229716301,0.747389912605286,0.626192390918732,0.548282444477081,0.537520349025726,0.402532696723938,0.572583436965942,0.553423881530762,0.506205916404724,0.586637318134308
"costa rica","cri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0535217300057411,0.0194931775331497,0.188240110874176,0.488434791564941,0.638847887516022,0.996446549892426,0.225683555006981,0.185693517327309,0.144852861762047,0.127485379576683,0.143077626824379,0.0808911919593811,0.0959484428167343,NA,NA,NA,NA,NA,NA
"croatia, republic of","hrv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.456998974084854,0.467545747756958
"el salvador","slv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.323554068803787,0.367861896753311,0.418259024620056,0.576784193515778,0.506597220897675,0.541977226734161,0.477601796388626,0.525880396366119,0.537067174911499,0.528451442718506,0.504046082496643,0.470626711845398,0.342056006193161,0.461696118116379,0.55681037902832,0.528617739677429,0.559245526790619,0.588865756988525,0.71994811296463
"estonia, republic of","est",NA,NA,NA,NA,NA,0.874910891056061,0.815523326396942,0.84204488992691,0.848369359970093,0.838255941867828,0.818698525428772,0.813688814640045,0.781780481338501,0.822522759437561,0.784231007099152,0.816380739212036,0.839683592319489,0.822326302528381,0.807051360607147,0.814868688583374,0.857312202453613,0.850961208343506,0.83028781414032,0.797631859779358,0.840997993946075,0.86687159538269,0.85335499048233,0.82712996006012,0.884860336780548,0.858720004558563,0.888018012046814
"georgia","geo",NA,NA,NA,NA,NA,0.807692348957062,0.855099499225616,0.754835307598114,0.719999969005585,0.75921905040741,0.819979906082153,0.877131402492523,0.849160552024841,0.838850677013397,0.944540500640869,0.856612145900726,0.86043107509613,0.666167378425598,0.768528521060944,0.781799614429474,0.756805598735809,0.794081151485443,0.745296597480774,0.768683254718781,0.725963890552521,0.708739757537842,0.703734874725342,0.687390744686127,0.778846621513367,0.695158898830414,0.634452223777771
"germany","deu",NA,0.164582088589668,0.14264003932476,0.119356349110603,0.099834032356739,0.0833177343010902,0.0906730592250824,0.0898771584033966,0.092084601521492,0.0886622816324234,0.0877096205949783,0.0791648477315903,0.0798941031098366,0.0746884867548943,0.0816553384065628,0.0902489125728607,0.0893877074122429,0.0916877090930939,0.0812648311257362,0.0942394807934761,0.105080224573612,0.102644681930542,0.10030223429203,0.100360885262489,0.0983096659183502,0.0978247970342636,0.0935042202472687,0.0942462608218193,0.0925202369689941,0.0891227871179581,0.140613690018654
"guatemala","gtm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.706715226173401,0.69289755821228,0.783239603042603,0.706715226173401,0.711692810058594,0.646838366985321,0.78182327747345
