"ccode","year","n_selfrule","n_sharedrule","n_RAI"
"alb",1992,0,0,0
"alb",1993,0,0,0
"alb",1994,0,0,0
"alb",1995,0,0,0
"alb",1996,0,0,0
"alb",1997,0,0,0
"alb",1998,0,0,0
"alb",1999,0,0,0
"alb",2000,2,0,2
"alb",2001,2,0,2
"alb",2002,2,0,2
"alb",2003,2,0,2
"alb",2004,2,0,2
"alb",2005,2,0,2
"alb",2006,2,0,2
"alb",2007,2,0,2
"alb",2008,2,0,2
"alb",2009,2,0,2
"alb",2010,2,0,2
"alb",2011,2,0,2
"alb",2012,2,0,2
"alb",2013,2,0,2
"alb",2014,2,0,2
"alb",2015,2,0,2
"alb",2016,2,0,2
"alb",2017,2,0,2
"alb",2018,2,0,2
"arg",1950,13.15,5.53,18.68
"arg",1951,13.67,5.75,19.42
"arg",1952,13.67,5.75,19.42
"arg",1953,14.08,5.93,20.01
"arg",1954,14.08,5.93,20.01
"arg",1955,14.09,6.34,20.43
"arg",1956,14.09,6.34,20.43
"arg",1957,14.09,7.72,21.81
"arg",1958,14.09,7.72,21.81
"arg",1959,14.09,7.72,21.81
"arg",1960,14.09,7.72,21.81
"arg",1961,14.09,7.72,21.81
"arg",1962,14.09,7.72,21.81
"arg",1963,14.09,7.72,21.81
"arg",1964,14.09,7.72,21.81
"arg",1965,14.09,7.72,21.81
"arg",1966,9.47,0,9.47
"arg",1967,9.47,0,9.47
"arg",1968,9.47,0,9.47
"arg",1969,9.47,0,9.47
"arg",1970,9.47,0,9.47
"arg",1971,9.47,0,9.47
"arg",1972,9.47,0.92,10.39
"arg",1973,15.02,7.26,22.28
"arg",1974,15.02,7.26,22.28
"arg",1975,15.02,7.26,22.28
"arg",1976,7.47,0.92,8.4
"arg",1977,7.47,0.92,8.4
"arg",1978,7.47,0.92,8.4
"arg",1979,7.47,0.92,8.4
"arg",1980,7.47,0.92,8.4
"arg",1981,7.47,0.92,8.4
"arg",1982,7.47,0.92,8.4
"arg",1983,14.09,8.65,22.74
"arg",1984,14.09,8.65,22.74
"arg",1985,14.09,6.8,20.89
"arg",1986,14.09,6.8,20.89
"arg",1987,14.09,6.8,20.89
"arg",1988,14.09,8.65,22.74
"arg",1989,14.09,8.65,22.74
"arg",1990,14.09,8.65,22.74
"arg",1991,14.14,8.68,22.81
"arg",1992,14.14,8.68,22.81
"arg",1993,14.14,8.68,22.81
"arg",1994,14.14,8.68,22.81
"arg",1995,14.14,8.68,22.81
"arg",1996,15,8.89,23.89
"arg",1997,15,8.89,23.89
"arg",1998,15,8.89,23.89
"arg",1999,15,8.89,23.89
"arg",2000,15,8.89,23.89
"arg",2001,15,7.5,22.5
"arg",2002,15,7.5,22.5
"arg",2003,15,7.5,22.5
"arg",2004,14,8.5,22.5
"arg",2005,14,8.5,22.5
"arg",2006,14,9.5,23.5
"arg",2007,14,9.5,23.5
"arg",2008,14,9.5,23.5
"arg",2009,14,9.5,23.5
"arg",2010,14,9.5,23.5
"arg",2011,14,9.5,23.5
"arg",2012,14,9.5,23.5
"arg",2013,14,9.5,23.5
"arg",2014,14,9.5,23.5
"arg",2015,14,9.5,23.5
"arg",2016,14,9.5,23.5
"arg",2017,14,9.5,23.5
"arg",2018,14,10.5,24.5
"aus",1950,13.66,9.28,22.93
"aus",1951,13.66,9.28,22.93
"aus",1952,13.66,9.28,22.93
"aus",1953,13.66,9.28,22.93
"aus",1954,13.66,9.28,22.93
"aus",1955,13.66,9.28,22.93
"aus",1956,13.66,9.28,22.93
"aus",1957,13.66,9.28,22.93
"aus",1958,13.66,9.28,22.93
"aus",1959,13.66,9.28,22.93
