"country_name","country_code","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"aruba, kingdom of the netherlands","abw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4981596649321,25.1141700404858,22.8869002034877,21.6875338086515,22.8839525658195,22.2505012065079,21.6729932735492,21.4911301364012,27.0318068522203,20.7136147419804,21.5199237954177,22.2854680630305,21.5739424841925,26.8253476606667,24.2566511422378,26.9566727256458,20.7703555109019,21.8062672938247,23.4064088584432,22.3756005566976,23.8979971995269,23.6640610838237,21.9712891359424,22.2217131073563,23.7897502392137,24.8563680485732,21.2178488343592,22.6220224659371,24.8218351333719,24.4540334233057,23.6718789527791,23.2666296775225,23.1718240941955,23.1744037847311,23.0304450445211,22.8311147302353,22.9125685271383
"afghanistan, islamic republic of","afg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.84462644850051,9.82582910063867,12.6758750404315,14.7334769052451,18.9459116570191,18.9857911257064,17.035778943281,19.390544374803,21.7224884173169,21.2648238802967,25.2102616617893,24.3460298979079,23.6836524764622,24.5690414796792,28.1562331014637,27.0587245639144,30.5698305547137,26.9409385150874,25.6942215121026,17.4489341948511,15.1182523826354,15.6372820105965,19.1210437542023,19.1210437542024,NA,NA,NA,NA,NA,NA
"angola","ago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5277537875282,30.7996444510176,24.3959233248528,36.3147692490935,37.842155533863,33.079119704286,25.3241584483307,26.0203554582541,27.0316982070213,30.0946567536382,35.7461298525564,37.8841339256116,43.3798008674893,31.8981780585231,37.5065174860396,40.4771013982401,36.8595883006711,32.6584594942551,27.2251010477555,21.291085004325,15.2040639130093,15.0420319727513,19.8290717540655,20.6657231278638,21.3385720519345,24.1304236930789,26.6205259342662,20.8541637742842,17.7907358673816,14.7829101043936,14.3811105763737,13.6367159311822,13.5733715211235,13.5545361512294,13.542530198892,13.4023651386895
"albania","alb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3978180047126,26.8257387216365,28.2660742945522,26.0659342525797,25.8478419376302,25.3229745746886,24.6738543944142,24.9920644419515,25.4342076756504,25.9280000001508,26.1298763056771,26.8422870004766,26.0929998381775,25.8665269020051,25.4069569375905,24.7885035955262,23.9774947570878,26.2716106661239,26.4399940291702,27.6418858310067,27.7560155142618,27.0895913166967,26.8889374108911,25.7191339041593,27.3723026679091,26.6445731134304,27.2251512698727,28.21203815983,28.3332720864962,29.0080456213845,29.4668497760982,29.5436572680289,29.295784568686,29.3057068142585,29.3856509117941
"andorra, principality of","and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3617056753958,25.977478958426,25.9799651678144,25.5450932105834,23.3052683428576,23.7532102695699,24.7739962039913,26.2688064106609,26.4061732237111,28.506104296183,29.5268236274653,32.286579752201,35.3227622218803,33.8054286718994,34.9832746753841,38.6502250846434,38.2014270739826,38.6102859999193,38.1593179973177,41.278066971937,37.8851897199187,39.7347583115026,38.0306336112873,39.9103600279946,40.6839418404407,40.0783991341228,40.2162874195138,40.2162874195139,40.2162874195137,40.2162874195138,40.2162874195139
"united arab emirates","are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.706866562953,39.8537347003666,32.9015411370732,28.6055957863441,28.3441435055928,29.7266667636325,28.5208206316513,29.2730989208183,26.8390588364001,25.5861975863707,32.448568422655,26.4337790698043,20.0949178363401,22.4015996665222,24.1091011048042,31.7309406559428,35.7772556191561,34.782790888977,39.588661035792,28.8703432183069,30.8694421940953,34.6853075748093,36.3790708327007,36.8764689882967,33.1712545492151,20.0500224796699,28.7529705893038,27.0808254606321,29.5270572169069,29.8991826559092,28.0454299857812,29.8997394177832,32.5458448507252,28.4796910033163,27.8253559683544,27.7184076925507,27.3612532341844,27.7611934319209,28.0924312052789,28.553301751068,28.6829263611611,28.8794647082646
"argentina","arg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9928843961865,21.6877682158179,20.7878379824352,19.876168061473,20.7481760175375,21.3029751723852,21.7662015005844,21.8304865930243,21.0683528924309,19.9429042504667,23.5260337119557,26.9964271111493,27.7661831487023,28.2667320944657,30.3075626431102,31.1143206423726,32.6943915207042,31.9646139640949,32.156252078187,33.8033675409178,34.3491050276952,34.6005024137508,35.3657720193376,34.8673516945,34.4281128896211,33.5080628098745,33.6842999568783,33.8051683819823,33.5504133265646,33.8067377624993,32.3077591019824,31.4770462851862,31.2537111101751,31.7882704479855,32.1903955385909,32.229107447139,32.9424832119343,33.28666239459,33.4039298868045
"armenia, republic of","arm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.0969971949762,26.1517794431552,17.8368105851476,15.4095018367869,15.7506767075832,17.1461314779832,19.3344693981034,16.4944073767066,17.0460162153042,16.7439551861948,15.2165957082133,15.4567698044697,17.8947834893953,18.0500508007589,20.0854295932846,20.479457896688,20.8669702649976,21.221103506835,22.0963875132029,20.9213906384344,22.2037939997601,22.0480311110212,21.493942240203,21.4138354682771,21.2378129280109,22.2934585570149,23.9201927952328,25.2485624981668,24.0879785201283,24.2642863484937,24.8554747621744,25.3014659533807,25.4997945409611,25.7956442713049,25.8161406273016,25.7713219386703,25.7649605664258,25.7588321367212,25.788317568255
"antigua and barbuda","atg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2508858526622,16.8501369601457,17.8758833735348,16.9811234277708,16.8201478918304,17.0949114432407,17.9594094934776,16.7568116534035,19.0396209488705,17.2262383365027,16.5891855584924,15.6075650108228,17.5009482236015,16.9274350259974,18.02862851802,17.2462630321319,19.4031020165231,18.8402518719201,18.4929844993497,16.276942515226,19.7177673716991,17.9953807751728,17.5572731264095,16.8698263358134,18.2560358467808,22.4143178469992,23.640050741808,19.8330401461351,19.108963704351,18.4687569825439,19.7503629741671,18.8660084235298,17.9529248232523,16.6953260976261,21.8717566384853,22.4001770689499,21.6459181825657,21.0166677521376,20.9177450462097,20.8021568430498,20.7024201769473,20.5907758273833
"australia","aus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.112427169602,30.4853261831758,30.2024457280385,30.2283105531976,29.2714880593672,29.37011466983,29.9047495198381,31.0290375420491,32.0389224428335,32.2702367119546,34.3368635937672,36.8191144139355,36.3940871822644,35.525555195697,35.0480234892092,35.9014816240138,36.1018421249466,36.2237739791486,36.2428540165322,35.709340122092,33.8837167814414,33.0786323843444,31.7379486711115,31.6793981230041,32.8810052436407,33.4075857344041,33.6873142510225,34.338426434147,34.7306903710937,34.9261609034691,35.4793109269418,34.3629317588895,35.6061830754526,35.3119584251666,35.2294308275358,36.1716862177783,36.4633513774254,36.6692081445964,36.6203754100511,36.2420735563554,36.0146530191996,36.0663082005265,36.0822840381748,36.0790904124192
