"country","ccode","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"afghanistan, islamic republic of","afg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0192686691880226,0.00944863632321358,0.00364761892706156,0.00578178185969591,0.00400177855044603,0.00281269755214453,0.00402832543477416,0.00719722732901573,0.00183212629053742,0.00453595025464892,0.0115837240591645,0.0128234950825572,NA,NA,NA
"albania","alb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136191308498383,0.132122352719307,0.141959309577942,0.145377159118652,0.13796678185463,0.158738791942596,0.178308919072151,0.177680984139442,0.175950825214386,0.187368974089623
"armenia, republic of","arm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0601271986961365,0.0638147667050362,0.0573222786188126,0.0605719313025475,0.0551061704754829,0.0503301210701466,0.0774967893958092,0.0800755396485329,0.0858523175120354,0.0828642994165421,0.0820820555090904,0.0767629742622375,0.0784830674529076,0.0775131285190582,0.0746894255280495,0.0377834029495716,0.0384409315884113
"australia","aus",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.468243271112442,0.467823207378387,0.461510449647903,0.457648575305939,0.458553373813629,0.456071972846985,0.455589324235916,0.463797926902771,0.468323647975922,0.470091372728348,0.4548599421978,0.481993407011032,0.471276879310608,0.45890998840332,0.459872335195541,0.450885027647018,0.450719654560089,0.45455726981163,0.464179813861847,0.468556731939316,0.468259125947952,0.432308524847031
"austria","aut",NA,NA,NA,NA,NA,0.306640297174454,0.317449867725372,0.303373217582703,0.306037366390228,0.309071093797684,0.308877497911453,0.310032188892365,0.315328389406204,0.315563708543777,0.28813424706459,0.302605867385864,0.30394372344017,0.305465430021286,0.310211807489395,0.303938746452332,0.31006532907486,0.307870924472809,0.306940972805023,0.307282328605652,0.304084271192551,0.311688274145126,0.317023605108261,0.319829493761063,0.321057856082916,0.324115633964539,0.296611487865448
"azerbaijan, republic of","aze",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0246942285448313,0.0284701082855463,0.0229294132441282,0.0190824922174215,0.0251953527331352,0.0299003161489964,0.0225511994212866,0.0213714335113764,0.0254976022988558,0.019802987575531,0.0216368418186903,0.0189634561538696,NA
"belarus, republic of","blr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414720833301544,0.392786890268326,0.388709425926209,0.366350799798965,0.365659803152084,0.353831231594086,0.355099111795425,0.394851565361023,0.414331644773483,0.405983775854111,0.419985562562943,0.39887210726738,0.373729228973389,0.368609219789505,0.364104360342026,0.357729643583298,0.366523385047913,0.354721397161484
"belgium","bel",NA,NA,NA,NA,NA,0.328746557235718,0.328224927186966,0.336933344602585,0.33661162853241,0.344464749097824,0.348636895418167,0.352122604846954,0.368090718984604,0.367287695407867,0.375471174716949,0.3574438393116,0.381336241960526,0.376333475112915,0.374385207891464,0.376003831624985,0.375413507223129,0.377065598964691,0.372471898794174,0.377411842346191,0.375569880008698,0.440749555826187,0.44547763466835,0.453169852495193,0.456051826477051,0.457368940114975,0.440283924341202
"bosnia and herzegovina","bih",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121763803064823,0.129712715744972,0.130190566182137,0.128316387534142,0.103719629347324,0.108192563056946,0.103289760649204,0.104169093072414,0.0945499390363693,0.0942693427205086,0.0985127538442612,0.106421440839767,0.107501178979874,0.107784546911716,0.106647789478302,0.103515096008778
"brazil","bra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453315317630768,0.43312731385231,0.447911888360977,0.436964720487595,0.430654019117355,0.40386888384819,0.407804280519485,0.392996907234192,0.404431998729706,0.410768091678619,0.394634127616882
"bulgaria","bgr",0.180798918008804,0.222797453403473,0.264991968870163,0.219821035861969,0.18499781191349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cambodia","khm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115044377744198,NA
"canada","can",0.58739972114563,0.591572821140289,0.600969195365906,0.599997401237488,0.602528810501099,0.601852476596832,0.600344836711884,0.608148574829102,0.613322556018829,0.615577876567841,0.620014429092407,0.631513178348541,0.635357439517975,0.641942977905273,0.644540011882782,0.650761067867279,0.658383429050446,0.662124395370483,0.673756957054138,0.671404182910919,0.675953984260559,0.676992475986481,0.677854061126709,0.678914248943329,0.689110457897186,0.684184014797211,0.678533494472504,0.674567699432373,0.675092935562134,0.675101041793823,0.566381633281708
"chile","chl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134650364518166,0.131650194525719,0.132527261972427,0.132514417171478,0.125752106308937,0.129911959171295,0.125308081507683,0.124709688127041,0.0895070508122444,0.0980456322431564,0.117607764899731,0.118253566324711,0.128121629357338,0.130868703126907,0.138750091195107,0.139710307121277,0.145123988389969,0.144124522805214,0.148726463317871,0.150632292032242,0.133770123124123
"colombia","col",NA,NA,NA,NA,NA,NA,NA,NA,0.370201349258423,0.373947769403458,0.386861443519592,NA,NA,0.27748829126358,NA,NA,NA,NA,0.284354776144028,0.312920331954956,0.328244298696518,0.349074214696884,0.375048249959946,0.311234802007675,0.305519491434097,0.329554438591003,0.302272707223892,0.342972993850708,0.344902217388153,0.359524428844452,0.317479938268662
"costa rica","cri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0288692768663168,0.0295251794159412,0.0344991013407707,0.0610697641968727,0.0358261987566948,0.0387115105986595,0.0404561422765255,0.0404010973870754,0.0389369428157806,0.0387060754001141,0.0398574136197567,0.0377031080424786,0.0403978377580643,NA,NA,NA,NA,NA,NA
"croatia, republic of","hrv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.274027913808823,0.259941250085831
"cyprus","cyp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0398645289242268,0.0372296236455441,0.0384243316948414,0.0346287302672863,0.0397626087069511,0.0362089872360229
"el salvador","slv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038964007049799,0.0540889985859394,0.0603730082511902,0.0990156158804893,0.0724856555461884,0.0903775990009308,0.0963655784726143,0.0849973931908607,0.088491752743721,0.0905579924583435,0.103244282305241,0.100916527211666,0.139731496572495,0.113931439816952,0.103994704782963,0.0923765897750854,0.0889000371098518,0.0889961421489716,0.0791719928383827
"estonia, republic of","est",NA,NA,NA,NA,NA,0.249688550829887,0.25789400935173,0.262486457824707,0.239209726452827,0.23191986978054,0.229633629322052,0.276491761207581,0.2781702876091,0.276039749383926,0.280999273061752,0.279591828584671,0.276783525943756,0.277687191963196,0.272665441036224,0.246999442577362,0.245052471756935,0.2501140832901,0.247858420014381,0.260483115911484,0.244262382388115,0.235473975539207,0.233709648251534,0.245851680636406,0.244672879576683,0.257155895233154,0.235072001814842
"georgia","geo",NA,NA,NA,NA,NA,0.246121481060982,0.223830729722977,0.19360388815403,0.250937581062317,0.261907011270523,0.308479815721512,0.349364846944809,0.343101859092712,0.338167995214462,0.29082515835762,0.304961860179901,0.217200323939323,0.189959347248077,0.193167254328728,0.177337452769279,0.22793036699295,0.227507546544075,0.234254077076912,0.19032184779644,0.174591645598412,0.18736644089222,0.164442360401154,0.152955517172813,0.157539620995522,0.182531848549843,0.166892379522324
"germany","deu",NA,0.389236927032471,0.389276802539825,0.387937307357788,0.382176011800766,0.33079668879509,0.376854926347733,0.377381026744843,0.3737852871418,0.374031692743301,0.374205678701401,0.380695551633835,0.377223163843155,0.374832421541214,0.379968851804733,0.376538276672363,0.381639778614044,0.385937124490738,0.387197375297546,0.382903099060059,0.378780066967011,0.392255455255508,0.394516080617905,0.395498722791672,0.398545145988464,0.396661579608917,0.400888383388519,0.393151193857193,0.397869765758514,0.395864695310593,0.398995280265808
"guatemala","gtm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148572638630867,0.134229704737663,0.138077631592751,0.148572638630867,0.137560024857521,0.144627511501312,0.118828743696213
"honduras","hnd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116398930549622,0.141521573066711,0.149266093969345,0.138170912861824,0.0957030951976776,0.132640704512596,0.10551493614912,0.100418038666248,0.112941026687622,0.0969706028699875,0.10390205681324,0.0838198438286781,0.0717703700065613,NA,NA,NA,NA,NA
"hungary","hun",NA,NA,NA,NA,NA,0.231696933507919,0.237605020403862,0.244623526930809,0.245523244142532,0.247523233294487,0.248430207371712,0.24763548374176,0.247805163264275,0.264814287424088,0.256443619728088,0.254362404346466,0.244723811745644,0.230129212141037,0.229497283697128,0.233781948685646,0.25292119383812,0.228966698050499,0.181368678808212,0.148164451122284,0.15438237786293,0.153322204947472,0.126040697097778,0.129620254039764,0.136791422963142,0.144530221819878,0.120954729616642
