"country","ccode","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"afghanistan, islamic republic of","afg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0158122777938843,0.0141116725280881,0.0069872522726655,0.0185941755771637,0.00762732746079564,0.0124016813933849,0.0089168967679143,0.000423569406848401,0.000527479453012347,0.000787661178037524,0.0036799069494009,0.00117792224045843,NA,NA,NA
"albania","alb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0394037254154682,0.0346131809055805,0.0357136987149715,0.0374064743518829,0.0335480272769928,0.0405459441244602,0.0456227324903011,0.0532627403736115,0.0570718683302403,0.0594137609004974
"armenia, republic of","arm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0315660163760185,0.0286004263907671,0.0279123298823833,0.0248401649296284,0.0219130385667086,0.0327584035694599,0.031029224395752,0.0291780792176723,0.0261455066502094,0.0210266709327698,0.021816486492753,0.0218628775328398,0.0222664456814528,0.0226144790649414,0.0205031707882881,0.0208363514393568,0.0223053265362978
"australia","aus",0.186738967895508,0.205788686871529,0.197703525424004,0.193921104073524,0.200378075242043,0.198287412524223,0.198099792003632,0.196433454751968,0.189821913838387,0.183968856930733,0.185193926095963,0.195292785763741,0.198035359382629,0.188619136810303,0.187113180756569,0.186485692858696,0.192085832357407,0.199237585067749,0.199262544512749,0.207328647375107,0.228190287947655,0.237387016415596,0.245553359389305,NA,NA,NA,NA,0.228216990828514,0.223563656210899,0.182096481323242,0.184053048491478,0.18289577960968,0.187112972140312,0.178905338048935,0.178756341338158,0.183252066373825,0.181752398610115,0.181950196623802,0.199566811323166,0.197563245892525,0.188059762120247,0.18759398162365,0.192578613758087,0.201667532324791,0.205441251397133,0.203705340623856,0.193516537547112,0.188026696443558,0.191123113036156
"austria","aut",0.306838899850845,0.298044174909592,0.306532949209213,0.314419776201248,0.315669119358063,0.310428559780121,0.304562270641327,0.302480399608612,0.301667660474777,0.305179238319397,0.305675894021988,0.305620789527893,0.302123636007309,0.342025309801102,0.344904899597168,0.344270795583725,0.308527737855911,0.312949180603027,0.309703469276428,0.313046246767044,0.307471662759781,0.302684098482132,0.318020462989807,0.078726515173912,0.0739316716790199,0.0711778625845909,0.0705510675907135,0.0700666978955269,0.0660045519471169,0.0575515925884247,0.0590991303324699,0.060241486877203,0.0603301525115967,0.0609458349645138,0.0614163167774677,0.0601801313459873,0.0596710033714771,0.0628370940685272,0.0630589500069618,0.0623182095587254,0.0624397210776806,0.0622022561728954,0.0623130574822426,0.0601932108402252,0.0633701086044312,0.0635704919695854,0.0735026970505714,0.0736966580152512,0.0773856043815613
"azerbaijan, republic of","aze",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00964659173041582,0.0139595158398151,0.0107683464884758,0.00879596453160048,0.0088973268866539,0.0089441342279315,0.00945969857275486,0.00922466162592173,0.00871544145047665,0.00862964242696762,0.00866622012108564,0.00855668727308512,NA
"belarus, republic of","blr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.476730167865753,0.452429622411728,0.412776440382004,0.345851242542267,0.326604604721069,0.326814383268356,0.359132498502731,0.379998713731766,0.393045216798782,0.418191760778427,0.456895381212235,0.458686470985413,0.427967041730881,0.451127767562866,0.461267530918121,0.414608806371689,0.441119700670242,0.4502974152565
"belgium","bel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104229018092155,0.108175776898861,0.108123898506165,0.104440823197365,0.107243560254574,0.098051406443119,0.104767337441444,0.14027301967144,0.147624388337135,0.144990757107735,0.148391261696815,0.151319265365601,0.156817778944969,0.147912323474884,0.163250640034676,0.160038337111473,0.162338852882385,0.154975011944771,0.161243885755539,0.157986551523209,0.197499170899391,0.241800516843796,0.237271592020988,0.224595785140991,0.237258553504944,0.249153092503548
"bosnia and herzegovina","bih",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123031251132488,0.120610520243645,0.128697663545609,0.128707870841026,0.12210001796484,0.114697732031345,0.117001682519913,0.110655464231968,0.106385052204132,0.109826013445854,0.115019723773003,0.117446593940258,0.111096747219563,0.110843434929848,0.114692889153957,0.115665785968304
"brazil","bra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.395119607448578,0.383887380361557,0.393889307975769,0.39833077788353,0.407071053981781,0.407241463661194,0.405538320541382,0.411865770816803,0.411157608032227,0.419471591711044,0.436135590076447
