"ccode","country","year","vfi"
"afg","afghanistan",2006,0.466830760240555
"afg","afghanistan",2007,0.204351827502251
"afg","afghanistan",2008,-0.0073013799265027
"afg","afghanistan",2009,-0.100034102797508
"afg","afghanistan",2010,0.110443100333214
"afg","afghanistan",2011,-0.481104135513306
"afg","afghanistan",2012,-0.272376477718353
"afg","afghanistan",2013,0.2959164083004
"afg","afghanistan",2014,-0.440319657325745
"afg","afghanistan",2015,0.33333894610405
"afg","afghanistan",2016,0.358348190784454
"afg","afghanistan",2017,0.403143763542175
"alb","albania",2011,0.753796279430389
"alb","albania",2012,0.758138597011566
"alb","albania",2013,0.788613855838776
"alb","albania",2014,0.767938315868378
"alb","albania",2015,0.77595466375351
"alb","albania",2016,0.750042140483856
"alb","albania",2017,0.747035622596741
"alb","albania",2018,0.708934366703033
"alb","albania",2019,0.702026188373566
"alb","albania",2020,0.75896543264389
"are","united arab emirates",2011,-0.215951010584831
"are","united arab emirates",2012,-0.26411184668541
"are","united arab emirates",2013,-0.250667214393616
"are","united arab emirates",2014,-0.0170220769941807
"are","united arab emirates",2015,0.212009698152542
"are","united arab emirates",2016,0.0311661045998335
"are","united arab emirates",2017,-0.0677526518702507
"are","united arab emirates",2018,-0.247766777873039
"are","united arab emirates",2019,-0.149957329034805
"are","united arab emirates",2020,0.11525634676218
"arm","armenia",2003,0.407541632652283
"arm","armenia",2004,0.460635304450989
"arm","armenia",2005,0.552007973194122
"arm","armenia",2006,0.43497097492218
"arm","armenia",2007,0.571336567401886
"arm","armenia",2008,0.614448249340057
"arm","armenia",2009,0.540306329727173
"arm","armenia",2010,0.695360541343689
"arm","armenia",2011,0.47765126824379
"arm","armenia",2012,0.501215040683746
"arm","armenia",2013,0.481752127408981
"arm","armenia",2014,0.465203851461411
"arm","armenia",2015,0.399785459041595
"arm","armenia",2016,0.392226070165634
"arm","armenia",2017,0.416760355234146
"arm","armenia",2018,0.399526476860046
"arm","armenia",2019,-0.221775785088539
"arm","armenia",2020,-0.0077457325533032
"aus","australia",1999,0.314133793115616
"aus","australia",2000,0.309872180223465
"aus","australia",2001,0.417205154895782
"aus","australia",2002,0.43839567899704
"aus","australia",2003,0.411244928836823
"aus","australia",2004,0.386468708515167
"aus","australia",2005,0.394715160131454
"aus","australia",2006,0.390685141086578
"aus","australia",2007,0.398850291967392
"aus","australia",2008,0.41650977730751
"aus","australia",2009,0.457200914621353
"aus","australia",2010,0.488627344369888
"aus","australia",2011,0.461066514253616
"aus","australia",2012,0.452462613582611
"aus","australia",2013,0.429171472787857
"aus","australia",2014,0.412812292575836
"aus","australia",2015,0.396868526935577
"aus","australia",2016,0.392110854387283
"aus","australia",2017,0.402937740087509
"aus","australia",2018,0.411266833543777
"aus","australia",2019,0.420943856239319
"aus","australia",2020,0.468938648700714
"aut","austria",1995,0.625694334506989
"aut","austria",1996,0.609461426734924
"aut","austria",1997,0.668684661388397
"aut","austria",1998,0.676963865756989
"aut","austria",1999,0.695676743984222
"aut","austria",2000,0.707438468933105
"aut","austria",2001,0.691452980041504
"aut","austria",2002,0.696673512458801
"aut","austria",2003,0.683623135089874
"aut","austria",2004,0.685672402381897
"aut","austria",2005,0.683019161224365
"aut","austria",2006,0.692510426044464
"aut","austria",2007,0.691056132316589
"aut","austria",2008,0.706622838973999
"aut","austria",2009,0.712191820144653
"aut","austria",2010,0.71020370721817
"aut","austria",2011,0.702409446239471
"aut","austria",2012,0.697320342063904
"aut","austria",2013,0.698079347610474
"aut","austria",2014,0.690730452537537
"aut","austria",2015,0.692411720752716
"aut","austria",2016,0.692746758460999
"aut","austria",2017,0.689917743206024
"aut","austria",2018,0.672656834125519
"aut","austria",2019,0.68039745092392
