ccode_cow,ccode_iso,check
2,usa,0
20,can,0
31,bhs,0
40,cub,0
41,hti,0
42,dom,0
51,jam,0
52,tto,0
53,brb,0
54,dma,0
55,grd,0
56,lca,0
57,vct,0
58,atg,0
70,mex,0
80,blz,1
90,gtm,0
91,hnd,0
92,slv,0
93,nic,0
94,cri,0
95,pan,0
100,col,0
101,ven,0
110,guy,0
115,sur,0
130,ecu,0
135,per,0
140,bra,0
145,bol,0
150,pry,0
155,chl,0
160,arg,0
165,ury,0
200,gbr,0
205,irl,0
210,nld,0
211,bel,0
212,lux,0
220,fra,0
225,che,0
230,esp,0
235,prt,0
240,,1
245,,1
255,deu,0
260,deu,1
265,ddr,1
267,,1
269,,1
271,,1
273,,1
275,,1
280,,1
290,pol,0
300,aut,1
305,aut,0
310,hun,0
315,cze,1
316,cze,0
317,svk,0
325,ita,0
327,,1
329,,1
332,,1
337,,1
338,mlt,0
339,alb,0
341,mne,1
343,mkd,1
344,hrv,1
345,srb,1
346,bih,1
347,kos,1
349,svn,1
350,grc,0
352,cyp,0
355,bgr,0
359,mda,1
360,rou,0
365,rus,1
366,est,0
367,lva,0
368,ltu,0
369,ukr,1
370,blr,1
371,arm,1
372,geo,1
373,aze,1
375,fin,0
380,swe,0
385,nor,0
390,dnk,0
395,isl,0
404,gnb,0
411,gnq,0
420,gmb,0
432,mli,0
433,sen,0
434,ben,0
435,mrt,0
436,ner,0
437,civ,0
438,gin,0
439,bfa,0
450,lbr,0
451,sle,0
452,gha,0
461,tgo,0
471,cmr,0
475,nga,0
481,gab,0
482,caf,0
483,tcd,0
484,cog,0
490,cod,0
500,uga,0
501,ken,0
510,tza,0
516,bdi,0
517,rwa,0
520,som,0
522,dji,0
530,eth,0
531,eri,0
540,ago,0
541,moz,0
551,zmb,0
552,zwe,0
553,mwi,0
560,zaf,0
565,nam,0
570,lso,0
571,bwa,0
572,swz,0
580,mdg,0
581,com,0
600,mar,0
615,dza,0
616,tun,0
620,lby,0
625,sdn,0
626,ssd,1
630,irn,0
640,tur,0
645,irq,0
651,egy,0
652,syr,0
660,lbn,0
663,jor,0
666,isr,0
670,sau,0
678,yem,1
679,yem,1
680,yem,1
690,kwt,0
692,bhr,0
694,qat,0
696,are,0
698,omn,0
700,afg,0
701,tkm,1
702,tjk,1
703,kgz,1
704,uzb,1
705,kaz,1
710,chn,0
712,mng,0
713,twn,0
730,kor,1
731,prk,0
732,kor,0
740,jpn,0
750,ind,0
760,btn,0
770,pak,0
771,bgd,0
775,mmr,0
780,lka,0
781,mdv,0
790,npl,0
800,tha,0
811,khm,0
812,lao,0
816,vnm,1
817,vnm,1
820,mys,0
830,sgp,0
840,phl,0
850,idn,0
900,aus,0
910,png,0
920,nzl,0
940,slb,0
986,pse,1
